task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
35	6e/549067	mapping_wf:ASSEMBLY_MAPPING_MISASSEMBLY	IDBA-UD	COMPLETED	0	2022-08-24 13:53:47.448	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	49.9s	19.1s	-	883.2%	1.4%	1.7 GB	3.7 GB	215.6 MB	838.4 KB
40	31/c1e683	postprocessing_wf:MISASSEMBLY	IDBA-UD	COMPLETED	0	2022-08-24 13:54:17.463	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	9.9s	1.7s	-	117.0%	0.1%	76.5 MB	359.7 MB	14.5 MB	7.7 KB
38	37/29bd7f	postprocessing_wf:GAP_ASSESSMENT	IDBA-UD	COMPLETED	0	2022-08-24 13:54:17.449	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	2m	1m 47s	-	97.7%	0.5%	607.6 MB	889.7 MB	216.4 MB	216.1 KB
39	a0/ca26e0	mapping_wf:ASSEMBLY_STATS_MAPPING	IDBA-UD	COMPLETED	0	2022-08-24 13:54:17.458	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	4m 30s	4m 14s	-	99.3%	0.4%	564.8 MB	846.1 MB	264.7 MB	1.2 MB
4	bd/7ab33a	assembly_wf:GATBMINIAPIPELINE	SRR8073716	COMPLETED	0	2022-08-24 12:00:16.654	docker:cimendes/gatb-minia-pipeline:31.07.2020-1	16	3d	-	64 GB	2h 5m 18s	2h 5m 7s	-	1073.9%	7.0%	8.8 GB	14.2 GB	189.2 GB	64.3 GB
41	a3/a11d17	mapping_wf:FILTER_ASSEMBLY	GATBMiniaPipeline	COMPLETED	0	2022-08-24 14:05:47.522	docker:pcerqueira/bbtools:38.44	2	3d	-	8 GB	24.7s	1.5s	-	133.2%	0.1%	92.3 MB	2.6 GB	51.4 MB	46.1 MB
42	bd/e2c644	mapping_wf:ASSEMBLY_MAPPING_MISASSEMBLY	GATBMiniaPipeline	COMPLETED	0	2022-08-24 14:06:17.523	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	44.9s	16.4s	-	765.5%	1.1%	1.4 GB	2.2 GB	216.5 MB	657.6 KB
44	7b/c66d60	mapping_wf:ASSEMBLY_MAPPING	GATBMiniaPipeline	COMPLETED	0	2022-08-24 14:06:17.531	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	49.8s	18.8s	-	817.3%	0.6%	1.6 GB	2.7 GB	216.5 MB	2.3 MB
45	ee/9dd798	postprocessing_wf:MISASSEMBLY	GATBMiniaPipeline	COMPLETED	0	2022-08-24 14:06:47.522	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	14.5s	1.7s	-	112.9%	0.1%	79.6 MB	362.4 MB	14.4 MB	3.2 KB
48	6e/78cc23	postprocessing_wf:GAP_ASSESSMENT	GATBMiniaPipeline	COMPLETED	0	2022-08-24 14:06:47.531	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	1m 35s	1m 28s	-	96.7%	0.5%	614.9 MB	896.6 MB	208.1 MB	179.4 KB
46	42/589424	mapping_wf:ASSEMBLY_STATS_MAPPING	GATBMiniaPipeline	COMPLETED	0	2022-08-24 14:06:47.535	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	3m 40s	3m 31s	-	98.9%	0.4%	572 MB	853.2 MB	256.6 MB	1.2 MB
47	2b/ec9a66	postprocessing_wf:SNP_ASSESSMENT	GATBMiniaPipeline	COMPLETED	0	2022-08-24 14:06:47.527	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	4m 30s	4m 21s	-	99.4%	0.1%	138 MB	419.6 MB	208.1 MB	2.6 MB
36	0b/92d1ee	mapping_wf:READ_MAPPING	IDBA-UD	COMPLETED	0	2022-08-24 13:53:47.456	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	40m 40s	40m 8s	-	186.8%	0.9%	2.3 GB	3.8 GB	37.4 GB	17.5 GB
