task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
163	44/e13679	ASSEMBLY_STATS_GLOBAL	SKESA	COMPLETED	0	2021-10-23 14:07:27.418	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.9s	1.7s	-	99.4%	0.0%	40.2 MB	297.2 MB	16.4 MB	961 B
95	2c/b6fd6f	READ_MAPPING	SKESA	COMPLETED	0	2021-10-23 13:28:47.067	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	44m 55s	44m 49s	-	153.8%	0.9%	2.4 GB	3.6 GB	35.1 GB	18.2 GB
164	3b/6a1f32	ASSEMBLY_STATS_GLOBAL	SKESA	COMPLETED	0	2021-10-23 14:13:42.454	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.9s	1.3s	-	107.9%	0.0%	49 MB	327.1 MB	10.6 MB	936 B
69	01/de9014	READ_MAPPING	BCALM2	COMPLETED	0	2021-10-23 13:13:06.875	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	1h 1m 5s	1h 58s	-	181.9%	1.6%	4.1 GB	5.3 GB	36.3 GB	17.2 GB
165	b8/968664	ASSEMBLY_STATS_GLOBAL	BCALM2	COMPLETED	0	2021-10-23 14:14:12.458	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 15s	1m 11s	-	96.1%	0.1%	112.3 MB	396.7 MB	859.5 MB	970 B
131	c7/55da98	READ_MAPPING	MEGAHIT	COMPLETED	0	2021-10-23 13:45:12.231	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	34m	33m 54s	-	161.7%	1.2%	3 GB	4.3 GB	38.1 GB	19.8 GB
166	31/22a22c	ASSEMBLY_STATS_GLOBAL	MEGAHIT	COMPLETED	0	2021-10-23 14:19:12.498	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.8s	1.7s	-	102.9%	0.0%	45.9 MB	317.3 MB	31.7 MB	986 B
33	8c/f7c38b	SPADES	LNN	COMPLETED	0	2021-10-23 12:59:46.841	docker:cimendes/spades:3.15.3-1	8	1d	-	32 GB	1h 21m 39s	1h 21m 33s	-	525.1%	1.8%	4.6 GB	6.6 GB	51.1 GB	11.8 GB
167	ca/63c9f8	FILTER_ASSEMBLY	SPAdes	COMPLETED	0	2021-10-23 14:21:27.532	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	4.9s	983ms	-	132.9%	0.0%	10.5 MB	55.5 MB	18.8 MB	13.2 MB
169	a7/5c885c	ASSEMBLY_MAPPING	SPAdes	COMPLETED	0	2021-10-23 14:21:32.541	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	14.9s	8.8s	-	446.4%	0.6%	752.7 MB	1.1 GB	101.8 MB	50.9 KB
171	5b/8ba445	MISASSEMBLY	SPAdes	COMPLETED	0	2021-10-23 14:21:47.579	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.9s	2.4s	-	83.3%	0.1%	75.8 MB	357.2 MB	13.7 MB	1.4 KB
170	2b/422d3a	SNP_ASSESSMENT	SPAdes	COMPLETED	0	2021-10-23 14:21:47.575	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.9s	3.8s	-	57.9%	0.1%	104.6 MB	385.7 MB	96.9 MB	5.8 KB
173	83/570b94	GAP_ASSESSMENT	SPAdes	COMPLETED	0	2021-10-23 14:21:47.651	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	14.8s	12.2s	-	94.6%	0.4%	559.5 MB	843.2 MB	96.9 MB	10.1 KB
172	9e/4448d9	ASSEMBLY_STATS_MAPPING	SPAdes	COMPLETED	0	2021-10-23 14:21:47.656	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	29.8s	26.2s	-	99.3%	0.2%	302 MB	583.1 MB	110.2 MB	191.2 KB
124	69/80d62e	READ_MAPPING	MEGAHIT	COMPLETED	0	2021-10-23 13:40:22.186	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	42m	41m 58s	-	185.8%	1.1%	2.9 GB	3.8 GB	30.3 GB	18.6 GB
174	ee/bf9c4f	ASSEMBLY_STATS_GLOBAL	MEGAHIT	COMPLETED	0	2021-10-23 14:22:22.541	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.9s	1.6s	-	103.9%	0.0%	45.1 MB	314.7 MB	21.6 MB	960 B
12	b6/2b179f	GATBMINIAPIPELINE	LNN	COMPLETED	0	2021-10-23 12:59:46.768	docker:cimendes/gatb-minia-pipeline:31.07.2020-1	8	1d	-	32 GB	1h 34m 10s	1h 34m 7s	-	546.0%	2.8%	7.1 GB	12.1 GB	102.4 GB	35.9 GB
175	81/02f65d	FILTER_ASSEMBLY	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:33:57.641	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	5s	839ms	-	116.4%	0.0%	11.6 MB	55.5 MB	16.7 MB	13.2 MB
176	d2/ea9248	ASSEMBLY_MAPPING	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:34:02.642	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	14.9s	9.3s	-	403.2%	0.6%	788.6 MB	1.3 GB	101.8 MB	39.7 KB
180	2f/3f9aed	MISASSEMBLY	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:34:17.657	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.8s	2.3s	-	100.6%	0.1%	75.5 MB	357.5 MB	13.7 MB	2 KB
178	84/f715e3	SNP_ASSESSMENT	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:34:17.649	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.9s	3.6s	-	48.1%	0.1%	96 MB	376.6 MB	96.8 MB	1.3 KB
181	c2/5d1804	GAP_ASSESSMENT	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:34:17.645	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	14.7s	-	92.2%	0.3%	369.7 MB	653.4 MB	96.8 MB	9.7 KB
179	ea/ed4b8d	ASSEMBLY_STATS_MAPPING	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:34:17.654	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	34.8s	29.9s	-	94.6%	0.3%	343.4 MB	636.5 MB	110.1 MB	220 KB
149	25/a27336	READ_MAPPING	IDBA-UD	COMPLETED	0	2021-10-23 14:04:22.388	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	33m 25s	33m 17s	-	174.9%	1.1%	2.8 GB	3.8 GB	30.8 GB	19 GB
182	c1/de2162	ASSEMBLY_STATS_GLOBAL	IDBA-UD	COMPLETED	0	2021-10-23 14:37:47.704	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.9s	1.5s	-	106.8%	0.0%	47 MB	318 MB	21.5 MB	956 B
156	4c/72f332	READ_MAPPING	MetaHipMer2	COMPLETED	0	2021-10-23 14:06:17.422	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	33m 30s	33m 24s	-	170.1%	2.3%	3 GB	4.1 GB	35 GB	16.7 GB
183	6a/e74b32	ASSEMBLY_STATS_GLOBAL	MetaHipMer2	COMPLETED	0	2021-10-23 14:39:47.709	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.9s	1.6s	-	103.2%	0.0%	46.1 MB	317.1 MB	22.4 MB	997 B
13	aa/e46dbd	GATBMINIAPIPELINE	ERR2935805	COMPLETED	0	2021-10-23 12:59:46.705	docker:cimendes/gatb-minia-pipeline:31.07.2020-1	8	1d	-	32 GB	1h 43m	1h 42m 57s	-	564.3%	5.8%	7.3 GB	12.5 GB	125.5 GB	36.1 GB
184	e0/f58466	FILTER_ASSEMBLY	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:42:47.743	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	5s	1.1s	-	105.9%	0.0%	11.6 MB	55.5 MB	20 MB	13.5 MB
186	4b/327320	ASSEMBLY_MAPPING	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:42:52.717	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	14.9s	8.9s	-	389.4%	0.6%	740.7 MB	1.2 GB	102.1 MB	65.8 KB
190	52/02329b	MISASSEMBLY	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:43:07.733	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.9s	2.4s	-	83.7%	0.1%	76.4 MB	357.4 MB	13.8 MB	2 KB
