Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
GATBMiniaPipeline,55.0,0.06031281670973,40488.0,37549.0,0.0,1797250.0,0.9432734330429379,83.0,0.9996068729849414,0.9840674789128397,0.0,0.0,1.0011200445124495,1.0011361802754208,0.9999838825493583
IDBA-UD,131.0,0.04347429032090454,16131.0,15599.0,0.0,1779580.0,0.9339994636108229,171.0,0.9999466079964862,0.9963636363636363,0.0,0.0,1.004861259398285,1.004861259398285,1.0
MEGAHIT,53.0,0.06074108830319949,40505.0,38354.0,0.0,1807750.0,0.9487842807530232,88.0,0.9941419956154816,0.7273524254821742,2.0,5.0,1.001609182685659,1.0030972203014796,0.9985165569341589
metaSPAdes,64.0,0.04951732846699238,36315.0,33788.0,0.0,1784123.0,0.9363838237200531,95.0,0.9998424203447588,0.9902849740932642,1.0,1.0,1.003097320083873,1.0031516885326852,0.9999458023652519
SKESA,69.0,0.06016428624287723,34729.0,30688.0,0.0,1757511.0,0.9224167114095017,86.0,0.9999684509015849,0.9984964559318393,0.0,0.0,1.0,1.0000147936485178,0.9999852065703311
SPAdes,58.0,0.060208373024557914,37879.0,37242.0,0.0,1782712.0,0.9356432707563455,101.0,0.9998709716289653,0.9947019867549669,4.0,8.0,1.00241373816971,1.00241373816971,1.0
Unicycler,55.0,0.060165860770794395,40540.0,40235.0,0.0,1771389.0,0.9297004775543173,79.0,0.9999007552082411,0.9963333333333333,0.0,0.0,0.9998080602284422,0.9998306413780372,0.9999774150254448
