task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
170	9b/6d6438	ASSEMBLY_STATS_MAPPING	SKESA	COMPLETED	0	2021-08-01 00:10:37.553	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	49.8s	47.6s	-	100.7%	0.4%	538.9 MB	980.1 MB	127.8 MB	137.7 KB
55	2d/3fb804	SKESA	EMS	COMPLETED	0	2021-07-31 23:44:47.451	docker:cimendes/skesa:2.4.0-1	4	-	-	16 GB	27m 27s	27m 19s	-	292.6%	3.7%	9.3 GB	11.4 GB	881.2 MB	28.9 MB
172	2b/ab534c	FILTER_ASSEMBLY	SKESA	COMPLETED	0	2021-08-01 00:12:17.559	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	4.9s	1.3s	-	105.4%	0.0%	14.1 MB	374.7 MB	32.4 MB	29.2 MB
174	a3/dada18	ASSEMBLY_MAPPING	SKESA	COMPLETED	0	2021-08-01 00:12:22.561	docker:cimendes/minimap2:2.17-1	4	-	-	8 GB	24.9s	17.6s	-	307.1%	0.6%	782.2 MB	1.9 GB	117.7 MB	136.8 KB
175	b7/c7579f	MISASSEMBLY	SKESA	COMPLETED	0	2021-08-01 00:12:47.569	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	9.9s	2.6s	-	115.6%	0.1%	72.5 MB	491 MB	13.8 MB	2.7 KB
178	bc/8d9e76	SNP_ASSESSMENT	SKESA	COMPLETED	0	2021-08-01 00:12:47.573	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	24.9s	16.5s	-	34.3%	0.1%	109.7 MB	549.6 MB	97.9 MB	48.9 KB
176	84/c7bab6	GAP_ASSESSMENT	SKESA	COMPLETED	0	2021-08-01 00:12:47.577	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	34.8s	30s	-	97.2%	0.4%	563.6 MB	1007.4 MB	97.9 MB	43.9 KB
49	46/46f785	SPADES	ENN	COMPLETED	0	2021-07-31 23:44:47.402	docker:cimendes/spades:3.15.0-1	4	-	-	16 GB	28m 38s	28m 29s	-	317.4%	1.8%	2.3 GB	3.1 GB	9.6 GB	12 GB
179	6a/7699ca	FILTER_ASSEMBLY	SPAdes	COMPLETED	0	2021-08-01 00:13:27.554	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	5s	1.2s	-	112.3%	0.0%	10.5 MB	55.5 MB	33 MB	29.3 MB
177	0b/2d72da	ASSEMBLY_STATS_MAPPING	SKESA	COMPLETED	0	2021-08-01 00:12:47.580	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	49.8s	43.9s	-	98.7%	0.3%	350.7 MB	792 MB	127.2 MB	104.3 KB
181	dc/a7a2c8	ASSEMBLY_MAPPING	SPAdes	COMPLETED	0	2021-08-01 00:13:32.645	docker:cimendes/minimap2:2.17-1	4	-	-	8 GB	19.9s	15.7s	-	308.9%	0.6%	783 MB	1 GB	117.9 MB	111.6 KB
184	38/c6361f	SNP_ASSESSMENT	SPAdes	COMPLETED	0	2021-08-01 00:13:52.571	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	9.9s	4.2s	-	97.4%	0.1%	96 MB	536.9 MB	97.6 MB	34.6 KB
183	df/46ce81	MISASSEMBLY	SPAdes	COMPLETED	0	2021-08-01 00:13:52.566	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	14.9s	5.8s	-	35.8%	0.1%	77.2 MB	508 MB	13.8 MB	2.2 KB
182	d7/fceaab	GAP_ASSESSMENT	SPAdes	COMPLETED	0	2021-08-01 00:13:52.563	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	29.9s	25.3s	-	101.0%	0.3%	386 MB	830.5 MB	97.6 MB	22 KB
185	08/6368ca	ASSEMBLY_STATS_MAPPING	SPAdes	COMPLETED	0	2021-08-01 00:13:52.575	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	49.8s	43.3s	-	99.6%	0.3%	397.7 MB	838.2 MB	127.1 MB	87.7 KB
51	c3/641999	SKESA	ERR2984773	COMPLETED	0	2021-07-31 23:44:47.409	docker:cimendes/skesa:2.4.0-1	4	-	-	16 GB	30m 43s	30m 32s	-	335.7%	7.2%	9.1 GB	10.9 GB	884.8 MB	29.1 MB
186	f9/68772c	FILTER_ASSEMBLY	SKESA	COMPLETED	0	2021-08-01 00:15:32.583	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	4.9s	991ms	-	129.3%	0.0%	10.5 MB	55.5 MB	32.5 MB	29.2 MB
