,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
59,LHS,Unicycler,Bacillus_subtilis,4045677.0,1174491,1174623
60,LHS,Unicycler,Bacillus_subtilis,4045677.0,1196643,1196751
61,LHS,Unicycler,Bacillus_subtilis,4045677.0,1207399,1207493
62,LHS,Unicycler,Bacillus_subtilis,4045677.0,1219473,1219562
63,LHS,Unicycler,Bacillus_subtilis,4045677.0,1261617,1261633
64,LHS,Unicycler,Bacillus_subtilis,4045677.0,1264921,1269937
65,LHS,Unicycler,Bacillus_subtilis,4045677.0,1285472,1285519
66,LHS,Unicycler,Bacillus_subtilis,4045677.0,1304813,1304882
67,LHS,Unicycler,Bacillus_subtilis,4045677.0,1354302,1356429
68,LHS,Unicycler,Bacillus_subtilis,4045677.0,1372602,1372697
69,LHS,Unicycler,Bacillus_subtilis,4045677.0,1388326,1388425
70,LHS,Unicycler,Bacillus_subtilis,4045677.0,1396483,1396572
71,LHS,Unicycler,Bacillus_subtilis,4045677.0,1401790,1401883
72,LHS,Unicycler,Bacillus_subtilis,4045677.0,1411449,1411538
73,LHS,Unicycler,Bacillus_subtilis,4045677.0,1418480,1418569
74,LHS,Unicycler,Bacillus_subtilis,4045677.0,1476061,1476156
75,LHS,Unicycler,Bacillus_subtilis,4045677.0,1538041,1538237
76,LHS,Unicycler,Bacillus_subtilis,4045677.0,1591113,1591234
77,LHS,Unicycler,Bacillus_subtilis,4045677.0,1616082,1616126
78,LHS,Unicycler,Bacillus_subtilis,4045677.0,1624876,1624968
79,LHS,Unicycler,Bacillus_subtilis,4045677.0,1659771,1659883
80,LHS,Unicycler,Bacillus_subtilis,4045677.0,1677537,1677623
81,LHS,Unicycler,Bacillus_subtilis,4045677.0,1700877,1701763
82,LHS,Unicycler,Bacillus_subtilis,4045677.0,1708119,1716621
83,LHS,Unicycler,Bacillus_subtilis,4045677.0,1720799,1720888
84,LHS,Unicycler,Bacillus_subtilis,4045677.0,1749093,1749236
85,LHS,Unicycler,Bacillus_subtilis,4045677.0,1754866,1756113
86,LHS,Unicycler,Bacillus_subtilis,4045677.0,1771298,1771386
87,LHS,Unicycler,Bacillus_subtilis,4045677.0,1775560,1775657
88,LHS,Unicycler,Bacillus_subtilis,4045677.0,1789447,1791610
89,LHS,Unicycler,Bacillus_subtilis,4045677.0,1813022,1815737
90,LHS,Unicycler,Bacillus_subtilis,4045677.0,1833938,1834025
91,LHS,Unicycler,Bacillus_subtilis,4045677.0,1839966,1843983
92,LHS,Unicycler,Bacillus_subtilis,4045677.0,1864487,1867293
93,LHS,Unicycler,Bacillus_subtilis,4045677.0,1875112,1875207
94,LHS,Unicycler,Bacillus_subtilis,4045677.0,1933966,1934055
95,LHS,Unicycler,Bacillus_subtilis,4045677.0,1944806,1944883
96,LHS,Unicycler,Bacillus_subtilis,4045677.0,1954385,1954471
97,LHS,Unicycler,Bacillus_subtilis,4045677.0,1977271,1978650
98,LHS,Unicycler,Bacillus_subtilis,4045677.0,2018635,2020493
99,LHS,Unicycler,Bacillus_subtilis,4045677.0,2056878,2056997
100,LHS,Unicycler,Bacillus_subtilis,4045677.0,2081004,2081108
101,LHS,Unicycler,Bacillus_subtilis,4045677.0,2097629,2097726
102,LHS,Unicycler,Bacillus_subtilis,4045677.0,2107779,2107889
103,LHS,Unicycler,Bacillus_subtilis,4045677.0,2112579,2112639
104,LHS,Unicycler,Bacillus_subtilis,4045677.0,2182187,2182281
105,LHS,Unicycler,Bacillus_subtilis,4045677.0,2234643,2234710
106,LHS,Unicycler,Bacillus_subtilis,4045677.0,2261342,2261432
107,LHS,Unicycler,Bacillus_subtilis,4045677.0,2272622,2272709
108,LHS,Unicycler,Bacillus_subtilis,4045677.0,2286620,2288596
109,LHS,Unicycler,Bacillus_subtilis,4045677.0,2301091,2301190
110,LHS,Unicycler,Bacillus_subtilis,4045677.0,2306138,2306230
111,LHS,Unicycler,Bacillus_subtilis,4045677.0,2321036,2321129
112,LHS,Unicycler,Bacillus_subtilis,4045677.0,2325301,2325401
113,LHS,Unicycler,Bacillus_subtilis,4045677.0,2336173,2336297
114,LHS,Unicycler,Bacillus_subtilis,4045677.0,2350692,2350779
115,LHS,Unicycler,Bacillus_subtilis,4045677.0,2361874,2362369
116,LHS,Unicycler,Bacillus_subtilis,4045677.0,2366555,2366644
