task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
161	a9/e6dcb7	SNP_ASSESSMENT	SPAdes	COMPLETED	0	2021-10-19 19:15:30.418	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	40s	25.4s	-	94.5%	0.1%	96.8 MB	377.6 MB	97.8 MB	362.3 KB
159	1b/8ba591	GAP_ASSESSMENT	SPAdes	COMPLETED	0	2021-10-19 19:15:30.421	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	39.9s	27s	-	95.3%	0.3%	385.2 MB	670.7 MB	97.8 MB	23.5 KB
158	33/1f11df	ASSEMBLY_STATS_MAPPING	SPAdes	COMPLETED	0	2021-10-19 19:15:30.424	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	59.9s	47.2s	-	99.7%	0.2%	295.7 MB	576.1 MB	127.2 MB	235.9 KB
12	1a/88ac19	GATBMINIAPIPELINE	ENN	COMPLETED	0	2021-10-19 18:29:00.018	docker:cimendes/gatb-minia-pipeline:31.07.2020-1	8	1d	-	32 GB	47m 59s	47m 50s	-	986.5%	2.7%	6.9 GB	12.4 GB	47.6 GB	16.1 GB
162	ce/e91d05	FILTER_ASSEMBLY	GATBMiniaPipeline	COMPLETED	0	2021-10-19 19:17:00.457	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	10s	1.3s	-	98.3%	0.0%	10.4 MB	55.5 MB	32.5 MB	29.3 MB
112	ce/45b27a	ASSEMBLY_MAPPING	SKESA	COMPLETED	0	2021-10-19 19:17:00.425	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	32m 55s	16.1s	-	586.0%	0.3%	729 MB	1 GB	117.8 MB	158.1 KB
166	e0/761434	MISASSEMBLY	SKESA	COMPLETED	0	2021-10-19 19:17:30.445	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	14.8s	2.7s	-	92.3%	0.1%	71.7 MB	353.8 MB	13.8 MB	1.5 KB
165	c2/447c56	SNP_ASSESSMENT	SKESA	COMPLETED	0	2021-10-19 19:17:30.437	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	4.8s	-	70.1%	0.1%	109 MB	389.8 MB	98.2 MB	19.9 KB
168	6b/08ead7	GAP_ASSESSMENT	SKESA	COMPLETED	0	2021-10-19 19:17:30.441	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	39.9s	27.7s	-	98.6%	0.3%	379.5 MB	670.5 MB	98.2 MB	57.2 KB
167	94/2262dd	ASSEMBLY_STATS_MAPPING	SKESA	COMPLETED	0	2021-10-19 19:17:30.448	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	59.8s	47.5s	-	99.8%	0.2%	224.6 MB	510.3 MB	127.6 MB	266.5 KB
99	ee/0c382a	READ_MAPPING	SKESA	COMPLETED	0	2021-10-19 19:07:15.328	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	38m	12m 3s	-	135.7%	0.8%	2.2 GB	3.1 GB	10.1 GB	4.5 GB
169	b0/5ce3bd	ASSEMBLY_STATS_GLOBAL	SKESA	COMPLETED	0	2021-10-19 19:19:35.473	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	15s	1.8s	-	86.5%	0.0%	43 MB	303.9 MB	36.7 MB	950 B
108	5d/54c5f1	READ_MAPPING	MetaHipMer2	COMPLETED	0	2021-10-19 19:12:55.370	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	36m 30s	6m 52s	-	173.9%	1.0%	2.5 GB	3.5 GB	6.4 GB	4.2 GB
116	72/2f0af0	ASSEMBLY_MAPPING	MetaHipMer2	COMPLETED	0	2021-10-19 19:19:35.443	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	34m 55s	14.1s	-	572.3%	0.3%	770.4 MB	1 GB	117.9 MB	130.3 KB
170	53/71d848	ASSEMBLY_STATS_GLOBAL	MetaHipMer2	COMPLETED	0	2021-10-19 19:20:05.465	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	1.8s	-	86.8%	0.0%	43.9 MB	308.3 MB	36.8 MB	981 B
172	4d/6ea554	SNP_ASSESSMENT	MetaHipMer2	COMPLETED	0	2021-10-19 19:20:05.468	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	2.1s	-	85.7%	0.0%	43.3 MB	303.6 MB	97.8 MB	1 KB
173	50/a1bf30	MISASSEMBLY	MetaHipMer2	COMPLETED	0	2021-10-19 19:20:05.471	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	2.7s	-	90.2%	0.1%	71.4 MB	353.7 MB	13.8 MB	1.5 KB
174	d6/652639	GAP_ASSESSMENT	MetaHipMer2	COMPLETED	0	2021-10-19 19:20:05.473	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	44.8s	26.8s	-	99.4%	0.3%	351.3 MB	634.9 MB	97.8 MB	30.5 KB
171	d8/fb8f98	ASSEMBLY_STATS_MAPPING	MetaHipMer2	COMPLETED	0	2021-10-19 19:20:05.479	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	49.8s	34.2s	-	98.9%	0.1%	308.2 MB	589.2 MB	127.3 MB	264.9 KB
23	64/2d36dd	METASPADES	EMS	COMPLETED	0	2021-10-19 18:29:00.067	docker:cimendes/spades:3.15.3-1	8	1d	-	32 GB	52m 24s	52m 14s	-	462.4%	1.8%	4.6 GB	7.4 GB	15.8 GB	31.8 GB
